year,make,model,title,price,currency,priceGBP,sold,date,estimateLow,estimateHigh
2008,BMW,M3 Convertible,2008 BMW M3 Convertible,17000,GBP,17000,false,2026-03-08,16000,18000
1989,BMW,Z1,1989 BMW Z1,46000,EUR,39560,false,2026-03-08,42000,50000
1997,BMW,Z3,1997 BMW Z3,13500,EUR,11610,false,2026-03-08,13000,14000
1974,BMW,3.0 CSL,1974 BMW 3.0 CSL,155000,GBP,155000,false,2026-03-07,150000,160000
1973,BMW,3.0 CSL,1973 BMW 3.0 CSL,67500,GBP,67500,false,2026-03-07,65000,70000
1987,BMW,320i Convertible,1987 BMW 320i Convertible,14000,GBP,14000,false,2026-03-07,12000,16000
2000,BMW,Alpina B10 3.3,2000 BMW Alpina B10 3.3,6000,GBP,6000,false,2026-03-07,5000,7000
1998,BMW,Z3,1998 BMW Z3,5500,GBP,5500,false,2026-03-07,5000,6000
1996,BMW,840 Ci,1996 BMW 840 Ci,9000,GBP,9000,false,2026-03-07,8000,10000
1998,BMW,328i Convertible,1998 BMW 328i Convertible,13500,GBP,13500,false,2026-03-07,11000,16000
1976,BMW,3.0 Si,1976 BMW 3.0 Si,20500,GBP,20500,false,2026-03-07,18000,23000
1988,BMW,M3 Evolution II,1988 BMW M3 Evolution II,156800,USD,123872,true,2026-03-06,,
2002,BMW,Z8,2002 BMW Z8,165200,USD,130508,true,2026-03-06,,
2022,BMW,Alpina B8 Gran Coupe,2022 BMW Alpina B8 Gran Coupe,89600,USD,70784,true,2026-03-06,,
1972,BMW,2002 te Electric Conversion by Bavarian Econs,1972 BMW 2002 te Electric Conversion by Bavarian Econs,84000,USD,66360,true,2026-03-06,,
1980,BMW,M1,1980 BMW M1,472500,USD,373275,true,2026-03-05,,
2025,BMW,Alpina B8 Gran Coupe,2025 BMW Alpina B8 Gran Coupe,145600,USD,115024,true,2026-03-05,,
1956,BMW,501,1956 BMW 501,29900,EUR,25714,false,2026-02-21,29900,29900
1976,BMW,3.3 Li,1976 BMW 3.3 Li,30000,EUR,25800,false,2026-02-21,30000,30000
1989,BMW,325i Cabriolet,1989 BMW 325i Cabriolet,16100,EUR,13846,true,2026-02-21,,
1995,BMW,525i,1995 BMW 525i,10000,EUR,8600,true,2026-02-21,,
1968,BMW,Glas 3000,1968 BMW Glas 3000,120000,EUR,103200,false,2026-02-21,120000,120000
1989,BMW,635 CSi Highline Motorsport Edition,1989 BMW 635 CSi Highline Motorsport Edition,50000,GBP,50000,true,2026-02-21,,
1989,BMW,635 CSi Motorsport Edition,1989 BMW 635 CSi Motorsport Edition,39937,GBP,39937,true,2026-02-21,,
1965,BMW,1800 Ti FIA HTP,1965 BMW 1800 Ti FIA HTP,21937,GBP,21937,true,2026-02-21,,
2019,BMW,i8 Roadster,2019 BMW i8 Roadster,45000,GBP,45000,true,2026-02-21,,
2020,BMW,M2 CS,2020 BMW M2 CS,88875,GBP,88875,true,2026-02-21,,
1994,BMW,M3,1994 BMW M3,38000,EUR,32680,false,2026-02-21,38000,38000
1995,BMW,M3,1995 BMW M3,38000,EUR,32680,false,2026-02-21,38000,38000
1974,BMW,2002 turbo,1974 BMW 2002 turbo,59000,EUR,50740,false,2026-02-21,59000,59000
1972,BMW,3.0 Si,1972 BMW 3.0 Si,30000,EUR,25800,false,2026-02-21,30000,30000
1930,BMW,Dixi,1930 BMW Dixi,25000,EUR,21500,false,2026-02-21,25000,25000
1973,BMW,2002,1973 BMW 2002,10528,GBP,10528,true,,,
1990,BMW,318is,1990 BMW 318is,9800,GBP,9800,true,,,
1997,BMW,318i Convertible,1997 BMW 318i Convertible,4920,GBP,4920,true,2026-02-14,,
1998,BMW,Z3 1.9,1998 BMW Z3 1.9,5980,GBP,5980,true,2026-02-14,,
1997,BMW,Z3 1.9,1997 BMW Z3 1.9,5220,GBP,5220,true,2026-02-14,,
2000,BMW,530i SE Turbo,2000 BMW 530i SE Turbo,5320,GBP,5320,true,2026-02-14,,
1989,BMW,635 CSi Motorsport Edition,1989 BMW 635 CSi Motorsport Edition,32000,GBP,32000,false,2026-02-14,30000,34000
2000,BMW,Alpina B10 3.3,2000 BMW Alpina B10 3.3,10000,GBP,10000,false,2026-02-14,9000,11000
2002,BMW,M3 Convertible,2002 BMW M3 Convertible,14000,GBP,14000,false,2026-02-14,13000,15000
1998,BMW,328i Sport,1998 BMW 328i Sport,7590,GBP,7590,true,2026-02-14,,
1996,BMW,328i Convertible,1996 BMW 328i Convertible,4720,GBP,4720,true,2026-02-14,,
2004,BMW,330i,2004 BMW 330i,5500,GBP,5500,false,2026-02-14,5000,6000
1990,BMW,320i,1990 BMW 320i,5800,GBP,5800,true,,,
1962,BMW,1500,1962 BMW 1500,7500,EUR,6450,false,,6000,9000
2004,BMW,M3 CSL,2004 BMW M3 CSL,100000,EUR,86000,false,,95000,105000
1979,BMW,530 IUS Replica,1979 BMW 530 IUS Replica,35500,EUR,30530,false,,33000,38000
1996,BMW,320i SE,1996 BMW 320i SE,3440,GBP,3440,true,2026-02-04,,
1995,BMW,323i,1995 BMW 323i,4408,GBP,4408,true,2026-02-04,,
